"GEOID","hhs_0k_10k","hhs_100k_125k","hhs_10k_15k","hhs_125k_150k","hhs_150k_200k","hhs_15k_20k","hhs_20k_25k","hhs_25k_30k","hhs_30k_35k","hhs_35k_40k","hhs_40k_45k","hhs_45k_50k","hhs_50k_60k","hhs_60k_75k","hhs_75k_100k","hhs_above_200k","hhs_total","hhs_below_eli","hhs_below_ami50","hhs_below_ami80","hhs_below_ami100","hhs_below_ami120","pct_below_eli","pct_below_ami50","pct_below_ami80","pct_below_ami100","pct_below_ami120"
"482012209002",27,0,32,0,0,14,25,8,24,28,0,14,25,13,42,0,252,99.2,147.64,197.91,212.184,237.8208,0.393650793650794,0.585873015873016,0.785357142857143,0.842,0.943733333333333
"482012210001",67,25,87,0,0,22,18,36,0,19,15,56,51,0,40,0,436,199.4,241.97,371,373.08,397.496,0.457339449541284,0.554977064220183,0.850917431192661,0.855688073394495,0.911688073394495
"482012210002",43,0,38,24,0,39,33,26,37,52,22,43,38,54,76,0,525,156.9,248.76,374.78,428.952,475.3424,0.298857142857143,0.473828571428571,0.713866666666667,0.817051428571429,0.905414095238095
"482012211001",19,6,37,0,0,55,9,78,31,40,5,22,28,59,12,0,401,131.7,254.2,328.13,383.624,390.9488,0.328428927680798,0.633915211970075,0.818279301745636,0.956668329177057,0.974934663341646
"482012211002",31,0,31,0,0,59,29,0,0,34,6,0,29,12,39,0,270,150,171.42,219.84,233.028,256.8336,0.555555555555556,0.634888888888889,0.814222222222222,0.863066666666667,0.951235555555556
"482012211003",25,20,27,0,7,15,70,45,2,22,18,0,11,6,7,0,275,143.75,197.86,235.42,241.364,245.6368,0.522727272727273,0.719490909090909,0.856072727272727,0.877687272727273,0.893224727272727
"482012212001",0,62,23,0,0,0,29,46,0,60,106,19,76,89,57,0,567,58.9,135.8,365.23,450.964,485.7568,0.103880070546737,0.239506172839506,0.644144620811288,0.795350970017637,0.8567139329806
"482012212002",14,0,47,0,10,27,13,35,24,0,72,10,9,26,9,0,296,106.25,160,252.82,277.468,282.9616,0.358952702702703,0.540540540540541,0.854121621621622,0.937391891891892,0.955951351351351
"482012212003",0,29,11,10,0,77,51,85,71,70,33,85,114,123,33,22,814,151.75,339.1,605.61,721.716,741.8592,0.186425061425061,0.416584766584767,0.743992628992629,0.886628992628993,0.911374938574939
"482012213001",13,0,53,0,0,44,9,0,64,109,0,0,14,45,62,0,413,119,251.67,309.15,354.224,392.0688,0.288135593220339,0.609370460048426,0.748547215496368,0.857685230024213,0.949319128329298
"482012213002",0,0,0,0,0,41,13,0,0,39,42,3,0,23,64,0,225,54,78.57,139.61,164.328,203.3936,0.24,0.3492,0.620488888888889,0.730346666666667,0.903971555555556
"482012213003",14,53,11,0,0,79,44,84,0,0,0,24,26,68,17,0,420,160.6,232,286.76,350.884,361.2608,0.382380952380952,0.552380952380952,0.682761904761905,0.835438095238095,0.860144761904762
"482012213004",84,37,13,67,13,12,168,69,43,32,66,13,63,0,42,0,722,287.35,409.16,563,565.184,590.8208,0.397991689750693,0.566703601108033,0.779778393351801,0.782803324099723,0.81831135734072
"482012213005",11,13,15,0,0,68,23,16,16,80,52,49,86,118,126,0,673,119.4,199.4,424.26,540.552,617.4624,0.17741456166419,0.2962852897474,0.630401188707281,0.803197622585438,0.917477563150074
"482012214001",59,0,26,0,0,24,5,0,34,0,42,0,0,10,0,0,200,114,148,190.7,200,200,0.57,0.74,0.9535,1,1
"482012214002",72,26,7,0,0,124,69,20,50,46,5,76,51,77,31,0,654,275,370.98,525.39,598.612,617.5344,0.420489296636086,0.567247706422018,0.803348623853211,0.915308868501529,0.944242201834862
"482012214003",159,0,78,0,0,62,121,86,41,30,24,51,102,75,47,0,876,432.9,565.9,759.25,831.444,860.1328,0.494178082191781,0.646004566210046,0.866723744292237,0.94913698630137,0.981886757990868
"482012215001",105,49,15,20,0,168,6,165,71,45,65,0,130,4,19,0,862,318.75,558.35,770.28,774.988,786.5856,0.369779582366589,0.647737819025522,0.893596287703016,0.899058004640371,0.912512296983759
"482012215002",232,0,72,0,0,129,55,116,82,113,60,54,94,0,99,0,1106,505.4,757.19,1007,1012.148,1072.5776,0.456962025316456,0.684620253164557,0.910488245931284,0.915142857142857,0.969780831826402
